% Member ID	Location(GPS latitude and longitude) 	Bid quota	Starting bid time	Credit value
0096	23.042076 113.088167	36	6.39	425.5539
0097	22.715649 114.266454	34	6.36	419.474
0098	23.102272 113.314206	15	7.51	409.9957
0099	22.957762 113.885591	40	6.30	404.3689
0100	22.735681 114.276218	34	6.39	401.2549
0101	22.566656 114.048785	11	7.27	389.3617
0102	22.605696 114.052535	11	7.30	388.9843
0103	22.528087 114.053445	12	7.06	385.9114
0104	22.557073 114.093619	1	6.30	371.5909
0105	22.663709 114.02819	10	7.15	358.6164
0106	22.600908 114.124103	13	7.24	355.7476
0107	22.702596 113.841585	10	6.51	339.6894
0108	23.133346 113.288213	1	6.54	325.9203
0109	23.371734 113.249841	33	6.33	322.1326
0110	23.060244 113.228424	15	7.18	318.7701
0111	23.025509 113.136987	29	6.45	318.7701
0112	23.131169 113.297453	16	7.39	317.5724
0113	22.55917 113.964202	16	7.21	317.3112
0114	22.571019 114.063028	10	7.42	316.9499
0115	23.019708 113.088886	1	6.30	313.7988
0116	22.602495 114.120857	12	7.30	310.1361
0117	23.291608 113.311949	17	6.54	308.6912
0118	22.526055 113.932399	18	7.00	308.3529
0119	22.957819 113.885455	32	6.33	289.7356
0120	23.136869 113.252176	17	7.33	287.4723
0121	22.5606 113.914169	17	7.03	286.1964
0122	23.02382 113.12482	22	7.06	284.9008
0123	23.170052 112.896012	14	6.36	271.4754
0124	23.192579 113.347404	14	7.42	263.7415
0125	22.609184 114.036224	1	6.33	255.3604
0126	23.096916 113.284093	11	7.57	246.9617
0127	22.583380 114.132395	1	6.36	243.7428
0128	22.737832 113.824021	8	6.54	243.0345
0129	22.669148 113.923368	11	7.00	240.7228
0130	22.697751 114.227313	22	6.45	239.112
0131	22.634345 114.079336	10	7.39	239.0776
0132	23.017262 113.334856	15	7.18	239.0776
0133	23.035953 113.163214	19	6.54	236.2993
0134	22.615165 114.168801	12	7.09	234.2849
0135	22.999192 114.343194	42	6.30	233.9414
0136	24.80413 113.605786	23	6.36	229.1596
0137	23.107527 113.14625	22	6.51	225.3733
0138	22.670303 114.139487	11	7.24	225.2535
0139	22.667193 114.020917	7	7.30	223.4477
0140	23.626787 113.43641	13	6.30	219.9701
0141	22.653315 114.029516	8	7.36	219.7008
0142	22.62607 114.073376	10	7.57	218.2444
0143	22.644142 113.867745	11	7.15	213.7231
0144	23.055061 113.744384	25	7.03	213.5504
0145	22.633177 114.230291	19	6.54	212.6327
0146	22.980661 114.002005	14	6.33	200.0799
0147	23.174499 113.263282	13	7.42	199.2313
0148	22.93804 113.665746	20	6.42	199.2313
0149	22.845506 113.269551	63	6.30	199.2313
0150	22.563546 114.138399	9	7.39	197.6011
0151	22.6656 114.20803	18	7.06	196.782
0152	23.133276 113.249702	14	7.48	195.401
0153	23.11803 113.362287	10	8.00	192.2122
0154	22.919953 113.213961	1	6.30	191.2621
0155	22.705938 114.091435	9	7.21	190.1459
0156	22.654493 114.042605	8	7.57	188.7821
0157	22.995646 114.006372	13	6.39	183.7939
0158	23.022885 113.826933	26	6.57	183.2365
0159	22.624889 114.152166	1	6.36	181.9852
0160	23.224528 113.317468	11	7.45	181.2249
0161	22.741636 114.266652	1	6.30	180.201
0162	23.054148 113.294756	10	7.51	179.3082
0163	22.674691 113.796497	1	6.30	179.3082
0164	22.966344 113.092801	13	7.21	179.3082
0165	23.156692 113.328526	13	8.00	174.7604
0166	23.190577 113.251884	12	7.45	171.1987
0167	23.010914 113.733551	23	7.03	171.1253
0168	23.072207 113.112958	23	6.51	169.0116
0169	23.101558 113.314506	10	8.00	168.3819
0170	23.012481 113.083899	23	6.54	168.3546
0171	22.611218 114.159207	9	7.36	159.3851
0172	23.1306 113.241295	14	7.57	159.3851
0173	22.619846 114.107034	9	8.00	157.4156
0174	22.55123 114.093465	8	7.48	152.1497
0175	22.506225 113.945301	1	6.30	151.7244
0176	22.657811 114.029555	7	7.51	151.7204
0177	23.016933 113.149007	21	7.00	151.5345
0178	22.630003 114.154938	10	7.45	151.4158
0179	22.800524 113.828908	7	6.51	151.4158
0180	23.120203 113.136969	17	7.00	149.86
0181	23.293868 113.372001	12	6.51	149.0707
0182	23.034994 113.749133	22	7.12	148.8489
0183	23.045704 113.49505	7	6.51	148.5654
0184	23.106751 113.312493	9	8.00	147.3951
0185	23.039656 113.718566	12	6.45	145.8889
0186	23.0391 113.13376	20	7.06	145.195
0187	23.226408 113.272284	10	7.48	142.0646
0188	22.665157 114.030232	6	7.51	140.7584
0189	22.621808 114.031797	7	8.00	139.4619
0190	22.628276 114.159413	9	7.48	139.4619
0191	23.103618 113.375591	8	8.00	139.4619
0192	23.019975 113.339842	11	7.36	138.8561
0193	22.919974 113.213898	1	6.33	135.7602
0194	22.619739 114.107025	8	8.00	134.8147
0195	22.965764 114.035832	12	6.36	134.5708
0196	22.676151 114.014881	1	6.33	132.103
0197	22.960617 113.701495	15	7.06	130.7752
0198	23.106792 113.312499	9	8.00	127.508
0199	22.520804 113.942816	12	7.06	126.9857
0200	22.980092 113.017895	24	6.42	123.5234
0201	23.558419 113.614671	30	6.30	120.3874
0202	22.638154 114.202461	13	7.33	119.5388
0203	22.723878 113.903337	7	7.00	119.5388
0204	22.551842 114.131407	7	8.00	119.5388
0205	23.097481 113.269269	8	8.00	119.5388
0206	22.694950 114.231992	1	6.36	119.5388
0207	23.127013 113.399742	7	8.00	119.5388
0208	22.982071 114.032407	11	6.42	119.5388
0209	22.97076 113.99635	9	6.42	119.5388
0210	22.928824 112.939739	30	6.33	119.5388
0211	23.227075 113.293212	9	7.57	115.9629
0212	23.146568 113.346826	1	7.06	115.7718
0213	23.212972 113.391595	8	7.42	115.646
0214	23.143901 113.299725	10	8.00	115.5542
0215	23.060158 113.777571	25	7.06	115.5408
0216	23.03343 113.14227	18	7.15	114.8859
0217	23.019462 113.077555	16	7.27	114.4205
0218	22.563803 114.040747	6	8.00	112.9106
0219	23.444281 113.196688	24	6.33	112.1376
0220	23.467101 113.365807	9	6.36	111.5695
0221	22.589193 113.973194	9	8.00	110.69
0222	23.065583 113.585017	7	6.48	108.7365
0223	23.100414 113.295104	8	8.00	106.4804
0224	23.075797 113.288044	8	8.00	105.5926
0225	23.340387 113.303661	12	6.45	105.5176
0226	23.073486 113.170439	11	7.39	105.3559
0227	23.018177 113.341384	9	7.51	104.1227
0228	22.576181 114.113145	7	8.00	103.6003
0229	23.037115 113.117726	17	7.18	103.0065
0230	22.657617 114.207759	13	7.30	102.08
0231	22.615435 114.123207	7	8.00	102.0617
0232	23.484326 113.205374	23	6.33	101.608
0233	22.773827 114.329945	18	6.42	99.6157
0234	23.309835 113.36433	11	7.00	99.6157
0235	22.588494 113.949223	9	8.00	99.6157
0236	22.73834 113.814489	5	7.06	99.6157
0237	23.042795 113.30588	8	8.00	99.6157
0238	22.617982 114.118918	7	8.00	99.6157
0239	22.729964 114.297779	15	6.57	99.6157
0240	23.207391 113.335702	9	8.00	99.6157
0241	23.051221 113.787943	19	7.15	99.6157
0242	22.832479 113.061531	3	6.42	99.6157
0243	22.796875 113.771143	4	7.00	97.0036
0244	22.801349 113.714482	1	6.30	94.9628
0245	22.763973 113.813969	5	7.09	94.8781
0246	23.114455 113.31211	8	8.00	93.5386
0247	23.205772 113.270594	1	7.09	93.2156
0248	23.007204 113.12903	16	7.15	93.1884
0249	23.396767 113.255106	18	6.45	92.9875
0250	22.683833 114.002003	5	7.54	92.8451
0251	22.537617 114.120387	7	8.00	92.144
0252	23.014185 113.648114	14	7.00	91.5635
0253	22.720184 114.275458	16	7.03	88.7475
0254	23.132941 113.338573	9	8.00	88.1576
0255	23.112296 113.127154	14	7.21	87.1681
0256	23.041392 113.757660	1	6.30	86.2996
0257	23.0946 113.284436	7	8.00	85.6695
0258	22.676474 113.821783	1	6.33	84.414
0259	22.964203 113.088383	15	7.12	84.0491
0260	22.540942 114.073682	7	8.00	83.6772
0261	23.064767 113.05448	13	7.36	83.6772
0262	22.684504 113.951115	6	7.33	82.9086
0263	22.563444 114.127943	6	8.00	82.3088
0264	23.160089 113.240921	10	8.00	79.6925
0265	23.068369 113.261283	7	8.00	79.6925
0266	23.212104 113.291573	7	8.00	79.6925
0267	23.194579 113.273734	8	8.00	79.6925
0268	22.591387 114.124439	1	6.42	79.6925
0269	23.097546 113.335980	1	7.12	79.6925
0270	23.093079 113.278148	1	7.09	79.6925
0271	23.442511 113.327665	9	6.45	79.6925
0272	22.536425 113.948822	9	7.27	79.6925
0273	22.757872 113.913137	5	7.15	79.6925
0274	22.572146 113.904177	9	7.18	79.6925
0275	23.207769 113.379643	7	7.57	79.6925
0276	23.133812 113.270935	1	7.12	79.6925
0277	23.110957 113.460126	5	7.15	79.6925
0278	22.631729 114.119678	6	8.00	79.6925
0279	22.572337 114.121094	1	6.42	79.6925
0280	23.148396 113.293411	8	8.00	79.6925
0281	23.137481 113.283015	8	8.00	79.6925
0282	23.381258 113.220174	16	6.45	79.6925
0283	22.693376 113.941047	6	7.24	79.6925
0284	23.141344 113.343578	8	8.00	79.6925
0285	22.651485 114.110239	6	8.00	79.6925
0286	23.150785 113.332625	9	8.00	79.6925
0287	23.247414 113.316081	9	7.42	79.6925
0288	22.550214 114.092453	6	8.00	79.6925
0289	23.144206 113.240874	10	8.00	79.6925
0290	22.910687 113.999879	8	6.48	79.6925
0291	22.878442 113.821749	6	6.48	79.6925
0292	22.80034 113.828038	5	7.06	79.6925
0293	22.947805 113.274358	8	7.03	79.6925
0294	22.821221 113.052974	5	6.33	79.6925
0295	23.037111 113.134501	11	8.00	79.6925
0296	22.887126 113.401686	14	6.36	75.3616
0297	22.960802 113.335749	5	7.24	73.2507
0298	23.063445 113.774572	20	7.09	71.7233
0299	22.939187 113.746074	17	7.03	70.9796
0300	22.665838 114.068923	5	8.00	64.7502
0301	22.568389 113.90155	8	7.21	64.292
0302	22.592527 113.846444	13	7.03	61.7617
0303	23.40515 113.228722	13	6.54	60.12
0304	23.26376 113.258772	7	7.42	59.7694
0305	23.137429 113.282856	7	8.00	59.7694
0306	23.136755 113.393612	1	7.09	59.7694
0307	23.13592 113.315173	7	8.00	59.7694
0308	23.137578 113.282935	7	8.00	59.7694
0309	23.254296 113.315659	8	7.57	59.7694
0310	23.120306 113.268304	6	8.00	59.7694
0311	23.126948 113.27424	7	8.00	59.7694
0312	23.151009 113.551515	1	6.30	59.7694
0313	23.077633 113.289146	6	8.00	59.7694
0314	22.692574 114.224224	11	7.21	59.7694
0315	22.936494 113.359285	6	7.15	59.7694
0316	23.124292 113.357872	6	8.00	59.7694
0317	22.944615 113.403347	5	7.12	59.7694
0318	22.676503 114.019311	3	8.00	59.7694
0319	23.164734 113.229295	8	8.00	59.7694
0320	23.104198 113.363252	6	8.00	59.7694
0321	22.735438 114.284747	13	7.03	59.7694
0322	22.540448 114.066268	1	6.48	59.7694
0323	22.686066 113.993061	4	8.00	59.7694
0324	22.633013 114.041198	4	8.00	59.7694
0325	22.721816 114.265177	13	7.06	59.7694
0326	22.549107 114.128361	5	8.00	59.7694
0327	23.10824 113.26614	6	8.00	59.7694
0328	22.612929 114.137262	5	8.00	59.7694
0329	22.543915 114.058444	5	8.00	59.7694
0330	23.126053 113.401054	5	8.00	59.7694
0331	22.523461 114.047879	5	8.00	59.7694
0332	22.688779 113.944955	5	7.42	59.7694
0333	22.735666 113.908071	5	7.27	59.7694
0334	23.124435 113.338799	6	8.00	59.7694
0335	22.588207 113.906852	8	7.39	59.7694
0336	23.054901 113.768854	18	7.15	59.7694
0337	23.173781 112.864304	1	6.30	59.7694
0338	23.118702 113.132484	11	7.27	59.7694
0339	23.040919 113.132589	10	8.00	59.7694
0340	23.004923 113.157507	13	7.27	59.7694
0341	23.072993 113.209000	1	6.51	59.7694
0342	22.99238 113.126195	13	7.24	59.7694
0343	23.287294 113.625475	12	6.30	59.2557
0344	23.181232 113.51278	3	6.48	58.2166
0345	22.620732 114.142503	5	8.00	57.6201
0346	22.654518 114.042548	4	8.00	57.1467
0347	22.979873 113.314866	1	6.30	56.9125
0348	23.134750 113.392481	1	7.15	56.9125
0349	22.985329 113.719121	12	7.30	55.7674
0350	22.615454 114.123113	5	8.00	55.7056
0351	23.065181 113.15496	12	7.45	55.5474
0352	22.624165 114.044003	4	8.00	55.5456
0353	23.107515 113.457024	4	7.33	53.5749
0354	22.573093 113.960327	6	8.00	53.1584
0355	22.5738 113.9662	6	8.00	52.5572
0356	22.605395 114.127734	5	8.00	51.807
0357	22.555394 114.118897	5	8.00	50.3799
0358	22.52894 114.07265	5	8.00	49.6626
0359	23.064412 113.447505	4	7.39	49.648
0360	23.032306 113.156795	12	7.54	49.3891
0361	23.125804 113.4009	4	8.00	48.5795
0362	23.009643 113.143825	12	7.45	47.8155
0363	23.026036 113.31943	6	8.00	46.5355
0364	23.123308 113.409223	4	8.00	46.3032
0365	23.096891 113.304406	5	8.00	46.2113
0366	23.098008 113.236094	6	8.00	46.0497
0367	23.203413 113.229464	6	8.00	45.8232
0368	22.672999 114.227576	10	7.39	45.6855
0369	22.703545 113.944387	4	7.54	45.4946
0370	22.614072 114.148979	5	8.00	45.105
0371	23.11072 113.274436	5	8.00	44.3144
0372	23.087139 113.278892	5	8.00	44.1162
0373	23.179085 113.232562	7	8.00	43.8309
0374	23.141318 113.400417	5	8.00	43.8033
0375	22.716905 114.388943	5	6.39	42.8347
0376	23.091655 113.336944	5	8.00	42.3704
0377	23.318118 113.363802	7	7.03	42.1776
0378	23.377337 113.214543	11	6.51	41.8386
0379	23.126861 113.267994	6	8.00	41.8386
0380	22.524485 113.949348	7	7.51	41.8386
0381	23.196752 113.347108	5	8.00	41.8386
0382	22.831844 113.696638	3	6.42	41.8386
0383	22.678983 114.004376	4	8.00	41.8386
0384	23.040397 113.158358	10	8.00	41.8386
0385	23.15374 112.905005	7	6.39	41.8386
0386	22.675887 113.807281	6	7.03	40.0001
0387	22.625597 114.034519	3	8.00	39.9479
0388	22.545463 113.926390	1	6.33	39.8463
0389	23.458749 113.193986	14	6.51	39.8463
0390	22.540878 114.085845	5	8.00	39.8463
0391	22.559842 114.118199	4	8.00	39.8463
0392	23.212488 113.292305	5	8.00	39.8463
0393	23.13516 113.337886	6	8.00	39.8463
0394	23.105198 113.276884	5	8.00	39.8463
0395	23.095225 113.365248	4	8.00	39.8463
0396	23.193444 113.370323	5	8.00	39.8463
0397	22.565797 114.123028	4	8.00	39.8463
0398	23.001787 113.352865	6	8.00	39.8463
0399	22.728736 114.264305	1	6.36	39.8463
0400	23.373834 113.433356	5	6.45	39.8463
0401	23.135971 113.386713	5	8.00	39.8463
0402	22.646861 114.009774	1	6.39	39.8463
0403	22.679169 113.938947	5	8.00	39.8463
0404	23.10584 113.271284	5	8.00	39.8463
0405	22.659864 114.120275	5	8.00	39.8463
0406	22.708022 113.815302	3	7.24	39.8463
0407	22.550248 114.092534	4	8.00	39.8463
0408	22.547093 113.978106	1	6.39	39.8463
0409	22.562530 114.094441	1	6.51	39.8463
0410	23.148314 113.293349	1	7.36	39.8463
0411	22.550907 114.133295	1	6.51	39.8463
0412	23.141977 113.236106	7	8.00	39.8463
0413	23.17077 113.386429	5	8.00	39.8463
0414	23.10288 113.240445	6	8.00	39.8463
0415	22.531248 114.074777	5	8.00	39.8463
0416	22.566277 114.057247	1	6.51	39.8463
0417	22.937503 113.472495	12	6.39	39.8463
0418	22.780596 114.297116	10	7.06	39.8463
0419	22.693761 114.225501	9	7.45	39.8463
0420	22.607315 114.111315	4	8.00	39.8463
0421	23.203141 113.341529	5	8.00	39.8463
0422	22.609728 114.121268	4	8.00	39.8463
0423	22.571192 114.040503	3	8.00	39.8463
0424	23.132668 113.286578	6	8.00	39.8463
0425	22.581488 113.877354	6	7.42	39.8463
0426	22.681384 113.835816	5	7.21	39.8463
0427	22.626028 114.152468	5	8.00	39.8463
0428	23.439895 113.272345	9	7.06	39.8463
0429	23.142616 113.293306	6	8.00	39.8463
0430	23.279398 113.215721	9	7.18	39.8463
0431	22.553907 113.974574	6	8.00	39.8463
0432	22.573458 114.118823	4	8.00	39.8463
0433	23.112827 113.280243	1	7.27	39.8463
0434	22.991592 113.723135	1	6.33	39.8463
0435	23.333676 113.393497	5	6.57	39.8463
0436	22.537562 113.937039	7	7.45	39.8463
0437	22.608568 113.853501	1	6.36	39.8463
0438	23.223677 113.236506	6	8.00	39.8463
0439	23.101533 113.281233	1	7.27	39.8463
0440	22.539697 113.911861	7	7.39	39.8463
0441	22.521439 113.930063	1	6.33	39.8463
0442	22.541419 114.109829	4	8.00	39.8463
0443	22.521505 113.932276	6	7.39	39.8463
0444	23.41147 113.192208	15	6.51	39.8463
0445	22.586891 113.869516	6	7.42	39.8463
0446	23.105474 113.487867	4	7.27	39.8463
0447	22.537286 114.075432	1	6.51	39.8463
0448	22.54842 114.089112	4	8.00	39.8463
0449	22.67597 114.041621	3	8.00	39.8463
0450	23.122523 113.401998	4	8.00	39.8463
0451	22.656474 114.026536	1	6.45	39.8463
0452	22.69798 113.82128	4	7.15	39.8463
0453	23.168829 113.325786	1	7.39	39.8463
0454	22.657030 114.218155	1	6.48	39.8463
0455	23.214644 113.262955	5	8.00	39.8463
0456	23.192039 113.348428	5	8.00	39.8463
0457	22.566805 113.926733	6	7.42	39.8463
0458	22.557264 114.054618	4	8.00	39.8463
0459	23.136778 113.393584	1	7.18	39.8463
0460	23.102809 113.235305	6	8.00	39.8463
0461	23.349518 113.299053	7	7.18	39.8463
0462	22.716731 113.835882	4	7.30	39.8463
0463	22.767485 113.900599	4	7.33	39.8463
0464	23.126049 113.321041	6	8.00	39.8463
0465	23.061671 113.2262	5	8.00	39.8463
0466	23.138925 113.378918	5	8.00	39.8463
0467	22.726808 113.904246	4	7.39	39.8463
0468	22.681319 113.949623	5	8.00	39.8463
0469	22.606031 114.126707	4	8.00	39.8463
0470	22.760543 113.922454	4	7.36	39.8463
0471	23.117189 113.362763	5	8.00	39.8463
0472	21.498823 111.106315 	1	6.30	39.8463
0473	22.794154 113.385011	1	6.30	39.8463
0474	22.622065 114.121736	4	8.00	39.8463
0475	22.538354 113.977801	6	8.00	39.8463
0476	23.108233 113.265912	5	8.00	39.8463
0477	23.098874 113.328971	5	8.00	39.8463
0478	22.752553 114.026436	4	7.30	39.8463
0479	23.149311 113.28236	6	8.00	39.8463
0480	22.619595 114.229209	7	7.36	39.8463
0481	22.559059 114.158556	1	6.48	39.8463
0482	22.694935 113.844956	4	7.27	39.8463
0483	23.115144 113.25955	5	8.00	39.8463
0484	22.637062 114.076561	4	8.00	39.8463
0485	23.017785 114.039199	6	6.57	39.8463
0486	22.869974 113.67508	3	7.00	39.8463
0487	22.86985 114.131288	9	6.33	39.8463
0488	22.801963 113.721845	3	6.54	39.8463
0489	23.121891 113.824454	12	7.06	39.8463
0490	23.065028 113.900075	12	6.48	39.8463
0491	22.92074 114.012363	6	6.54	39.8463
0492	22.79723 114.080272	9	6.33	39.8463
0493	23.041766 113.733323	1	6.33	39.8463
0494	22.983841 113.929266	9	6.51	39.8463
0495	23.037111 113.886441	15	6.51	39.8463
0496	23.048678 113.7786	14	7.21	39.8463
0497	22.811692 113.682766	1	6.33	39.8463
0498	22.883376 114.119983	9	6.36	39.8463
0499	22.938454 113.807922	14	7.00	39.8463
0500	22.877674 113.082808	11	6.39	39.8463
0501	23.230059 113.08838	10	6.30	39.8463
0502	22.91514 112.872049	19	6.33	39.8463
0503	23.002962 113.13325	10	7.51	39.8463
0504	23.054569 112.923115	8	6.39	39.8463
0505	22.906752 113.167485	19	6.42	39.8463
0506	22.946631 113.282171	5	7.18	39.8463
0507	22.877588 113.082854	11	6.39	39.8463
0508	22.908228 113.224487	18	6.45	39.0864
0509	22.963037 113.107354	10	7.57	38.4497
0510	22.743173 114.139952	4	8.00	38.0205
0511	22.602344 114.059629	4	8.00	37.8577
0512	22.665991 114.06549	4	8.00	36.4665
0513	22.913183 113.845955	10	6.51	34.7793
0514	22.801749 113.75284	3	7.21	34.0831
0515	22.949361 113.383475	1	6.33	34.0692
0516	22.67858 113.807474	4	7.36	33.7613
0517	23.198099 113.424046	4	8.00	32.927
0518	23.118314 113.409231	3	8.00	31.759
0519	22.523183 114.059483	4	8.00	31.5716
0520	23.107375 113.541189	2	7.06	31.5077
0521	22.985054 113.730621	9	7.39	31.4796
0522	23.226076 113.309537	5	8.00	29.8847
0523	23.117332 113.411635	3	8.00	29.852
0524	23.142655 113.377527	4	8.00	28.1365
0525	22.571079 114.06153	3	8.00	24.6983
0526	23.101896 113.325889	4	8.00	24.1771
0527	22.590912 113.938085	4	8.00	23.9078
0528	23.477471 113.153309	12	6.48	23.9078
0529	23.102825 113.385889	3	8.00	23.9078
0530	22.764807 113.2973	24	6.42	23.4954
0531	23.062129 113.274549	4	8.00	23.4321
0532	23.06127 114.017925	4	6.54	23.0116
0533	23.465214 113.116516	12	6.51	21.9154
0534	23.10473 113.270301	4	8.00	21.9154
0535	23.125273 113.424431	3	8.00	21.9154
0536	22.616991 114.050323	3	8.00	21.9154
0537	23.467767 113.153265	11	6.57	21.9154
0538	23.308687 113.411452	4	7.03	21.9154
0539	23.007471 113.134428	8	8.00	21.9154
0540	22.578875 113.865793	6	7.57	21.6439
0541	22.754533 113.814188	2	7.54	21.1757
0542	22.70931 113.97225	3	8.00	21
0543	22.960403 113.668769	6	7.24	20.9193
0544	22.660281 114.221429	6	8.00	20.5801
0545	23.131021 113.010393	11	6.42	20.4029
0546	22.84683 114.170494	6	6.39	20.2945
0547	23.076161 113.80713	10	7.33	20.2553
0548	23.038477 113.797326	9	7.45	20.1144
0549	23.021185 113.736371	8	7.54	20.0221
0550	22.987672 113.950727	5	7.15	20
0551	23.133161 113.422087	3	8.00	19.9231
0552	22.691007 114.350423	5	7.03	19.9231
0553	22.683829 113.942915	3	8.00	19.9231
0554	22.965728 113.473636	5	6.54	19.9231
0555	23.404957 113.230019	8	7.18	19.9231
0556	22.664515 113.827217	4	8.00	19.9231
0557	22.699071 114.262472	7	7.33	19.9231
0558	23.219338 113.229506	4	8.00	19.9231
0559	22.537866 114.026688	3	8.00	19.9231
0560	22.571144 113.913206	4	8.00	19.9231
0561	22.532385 114.037147	2	8.00	19.9231
0562	23.158235 113.60728	12	6.39	19.9231
0563	22.80646 113.847029	3	7.39	19.9231
0564	22.74242 113.811259	2	7.57	19.9231
0565	22.609277 114.072487	3	8.00	19.9231
0566	22.597208 114.138971	3	8.00	19.9231
0567	23.075938 113.311626	4	8.00	19.9231
0568	23.477391 113.161711	11	7.00	19.9231
0569	23.194785 113.273758	4	8.00	19.9231
0570	22.634382 114.061367	3	8.00	19.9231
0571	23.131625 113.269593	4	8.00	19.9231
0572	22.679075 113.940527	4	8.00	19.9231
0573	22.540552 114.074406	3	8.00	19.9231
0574	22.620184 114.15286	3	8.00	19.9231
0575	22.678692 114.036315	3	8.00	19.9231
0576	23.13176 113.281256	4	8.00	19.9231
0577	23.105626 113.331857	4	8.00	19.9231
0578	23.232252 113.2174	5	8.00	19.9231
0579	23.250338 113.352783	4	8.00	19.9231
